track_id,user,datetime
TRAUSMT128F9302A7E,21,2015-12-13 14:31:54
TRAVOWY128F9336628,160,2018-08-30 10:39:39
TRAWLVG128F426836F,241,2014-03-28 19:40:22
TRAUNEK128F4270B12,21,2017-04-23 06:03:51
TRAWNRK128F92EA2C2,159,2016-07-14 05:51:41
TRAVJLG128F930B2C3,91,2017-05-05 05:50:12
TRAXACX128E0792481,169,2018-08-09 19:27:37
TRAWQFC128F42BC796,177,2017-01-25 15:36:46
TRAVRDW128F932657D,239,2014-11-04 23:01:10
TRAVFPW128F9346CA5,161,2016-07-10 20:26:03
TRAVBMS128F1458D8C,125,2017-04-18 19:42:02
TRAUIOF128F428F221,137,2017-05-13 21:56:31
TRAWVVM12903CC9B77,106,2018-08-08 15:38:04
TRAUVTR12903CB43D9,240,2016-12-26 06:14:17
TRAUDBU128F9313CBB,21,2017-02-14 11:17:51
TRAWFEM128F92D95BA,119,2018-02-09 00:34:49
TRAWITH128F92FB132,208,2018-07-20 07:31:08
TRAWCLY128F424835F,7,2018-03-19 12:56:47
TRATXPM128F92F15A1,166,2018-05-16 08:49:33
TRAUJXN12903CD4C0E,196,2015-10-13 10:09:15
TRAVFEP128F93200FC,25,2017-04-24 04:47:31
TRAUJXN12903CD4C0E,5,2017-10-17 23:30:02
TRAWDFL128F426B6C1,100,2015-01-03 06:42:03
TRAWBNI128F4244271,240,2014-12-20 08:14:51
TRAVCEW128F4268619,177,2017-10-29 03:44:16
TRAVQDQ128F92FBF42,170,2017-10-10 23:54:50
TRAUGWA128F14661A9,194,2014-01-29 19:09:38
TRAWXRW128F92F2686,96,2018-02-09 10:16:05
TRAVRCV12903CDFBB0,43,2014-03-29 13:11:07
TRATUJK128F429C591,154,2016-02-26 17:33:14
TRAVAJV128F42AA3CE,91,2016-05-31 21:17:45
TRAVDOK128F424EA5E,153,2017-04-12 16:31:09
TRAVYTY128F4238850,88,2017-04-25 05:46:08
TRAWBNU128F9306D69,239,2014-03-26 04:42:18
TRAVRDW128F932657D,176,2016-03-20 03:48:33
TRAWCBC128F92ECDE9,180,2014-08-04 23:43:49
TRAUPJB128F42625B8,87,2014-02-17 07:25:02
TRAWSVD128F92E96B9,68,2014-10-16 23:53:08
TRAUHWR12903CC82A0,246,2018-06-28 13:15:56
TRAVURN12903CD9FCC,189,2015-12-29 19:46:30
TRATXPM128F92F15A1,161,2016-07-18 23:10:01
