unbroke	kingrichardii@2925
unbruised	troilusandcressida@94, coriolanus@3759, romeoandjuliet@1661, muchadoaboutnothing@4033, kingjohn@773
unbuckle	winterstale@3506
unbuckles	antonyandcleopatra@4162
unbuild	coriolanus@2912
unburden	merchantofvenice@244
unburied	titusandronicus@203, coriolanus@3650
unburnt	coriolanus@4875
unburthens	2kinghenryvi@2115
unbutton	kinglear@2976
unbuttoned	asyoulikeit@2290
unbuttoning	1kinghenryiv@227
uncapable	othello@4281, merchantofvenice@2742
uncape	merrywivesofwindsor@2468
uncasing	loveslabourslost@4021
uncaught	antonyandcleopatra@4450, kinglear@1621
unceremonious	glossary@1778
uncertain	coriolanus@5338, coriolanus@5617, timonofathens@3722, 1kinghenryiv@1261, winterstale@798, sonnets@2503, twogentlemenofverona@649
uncertainly	rapeoflucrece@1571
uncertainty	coriolanus@3652, comedyoferrors@880, 1kinghenryiv@889
unchanging	3kinghenryvi@934
uncharge	hamlet@4753
uncharged	timonofathens@3927
unchary	twelfthnight@2736
unchaste	kinglear@411, allswellthatendswell@3129, merrywivesofwindsor@4237, cymbeline@5175
uncheck	merchantofvenice@1813
uncheerful	rapeoflucrece@1242
uncheque	timonofathens@3276
unchilded	coriolanus@5830
uncivil	twelfthnight@2807, twelfthnight@3124, twelfthnight@3584, twelfthnight@1327, kingrichardii@2336, 2kinghenryvi@2309, twogentlemenofverona@3445, twogentlemenofverona@3382
unclasp	twelfthnight@473, muchadoaboutnothing@483, troilusandcressida@3847, 1kinghenryiv@740, periclesprinceoftyre@1373
